Compiling shader_data: 
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
[FPS = 0.00]
